,CH1,CH2
Second,Volt,Volt
-3.03987e-02,2.00e+00,-8.00e-02, 
-2.99987e-02,1.96e+00,-8.00e-02, 
-2.95987e-02,2.04e+00,-8.00e-02, 
-2.91987e-02,2.00e+00,-8.00e-02, 
-2.87987e-02,1.96e+00,-8.00e-02, 
-2.83987e-02,2.04e+00,0.00e+00, 
-2.79987e-02,2.04e+00,-8.00e-02, 
-2.75987e-02,1.96e+00,-8.00e-02, 
-2.71987e-02,2.00e+00,-8.00e-02, 
-2.67987e-02,2.08e+00,0.00e+00, 
-2.63987e-02,1.92e+00,0.00e+00, 
-2.59987e-02,2.04e+00,-8.00e-02, 
-2.55987e-02,2.04e+00,-8.00e-02, 
-2.51987e-02,2.00e+00,0.00e+00, 
-2.47987e-02,2.00e+00,0.00e+00, 
-2.43987e-02,2.04e+00,-8.00e-02, 
-2.39987e-02,2.00e+00,0.00e+00, 
-2.35987e-02,1.96e+00,-8.00e-02, 
-2.31987e-02,2.04e+00,8.00e-02, 
-2.27987e-02,1.96e+00,-8.00e-02, 
-2.23987e-02,2.00e+00,-8.00e-02, 
-2.19987e-02,2.04e+00,0.00e+00, 
-2.15987e-02,2.00e+00,0.00e+00, 
-2.11987e-02,1.96e+00,-8.00e-02, 
-2.07987e-02,2.04e+00,0.00e+00, 
-2.03987e-02,0.00e+00,4.88e+00, 
-1.99987e-02,0.00e+00,4.96e+00, 
-1.95987e-02,0.00e+00,5.12e+00, 
-1.91987e-02,0.00e+00,5.04e+00, 
-1.87987e-02,0.00e+00,5.12e+00, 
-1.83987e-02,0.00e+00,5.12e+00, 
-1.79987e-02,0.00e+00,5.04e+00, 
-1.75987e-02,0.00e+00,5.04e+00, 
-1.71987e-02,4.00e-02,4.96e+00, 
-1.67987e-02,0.00e+00,5.04e+00, 
-1.63987e-02,0.00e+00,4.96e+00, 
-1.59987e-02,0.00e+00,5.04e+00, 
-1.55987e-02,4.00e-02,4.96e+00, 
-1.51987e-02,0.00e+00,4.88e+00, 
-1.47987e-02,0.00e+00,4.96e+00, 
-1.43987e-02,0.00e+00,4.80e+00, 
-1.39987e-02,4.00e-02,4.88e+00, 
-1.35987e-02,0.00e+00,4.80e+00, 
-1.31987e-02,4.00e-02,4.80e+00, 
-1.27987e-02,0.00e+00,4.80e+00, 
-1.23987e-02,0.00e+00,4.72e+00, 
-1.19987e-02,0.00e+00,4.80e+00, 
-1.15987e-02,4.00e-02,4.72e+00, 
-1.11987e-02,0.00e+00,4.64e+00, 
-1.07987e-02,4.00e-02,-8.00e-02, 
-1.03987e-02,4.00e-02,-8.00e-02, 
-9.99872e-03,0.00e+00,-8.00e-02, 
-9.59872e-03,0.00e+00,-8.00e-02, 
-9.19872e-03,4.00e-02,0.00e+00, 
-8.79872e-03,0.00e+00,-8.00e-02, 
-8.39872e-03,4.00e-02,0.00e+00, 
