,CH1,CH2
Second,Volt,Volt
2.04000e-06,0.00e+00,5.04e+00, 
2.06000e-06,4.00e-02,4.88e+00, 
2.08000e-06,4.00e-02,4.96e+00, 
2.10000e-06,0.00e+00,5.04e+00, 
2.12000e-06,4.00e-02,4.96e+00, 
2.14000e-06,0.00e+00,5.04e+00, 
2.16000e-06,0.00e+00,4.96e+00, 
2.18000e-06,4.00e-02,5.04e+00, 
2.20000e-06,0.00e+00,4.96e+00, 
2.22000e-06,4.00e-02,5.12e+00, 
2.24000e-06,0.00e+00,5.04e+00, 
2.26000e-06,4.00e-02,4.96e+00, 
2.28000e-06,4.00e-02,4.96e+00, 
2.30000e-06,0.00e+00,5.04e+00, 
2.32000e-06,0.00e+00,4.96e+00, 
2.34000e-06,4.00e-02,5.04e+00, 
2.36000e-06,0.00e+00,5.04e+00, 
2.38000e-06,0.00e+00,4.96e+00, 
2.40000e-06,8.00e-02,5.04e+00, 
2.42000e-06,0.00e+00,4.88e+00, 
2.44000e-06,0.00e+00,4.96e+00, 
2.46000e-06,4.00e-02,5.04e+00, 
2.48000e-06,0.00e+00,4.96e+00, 
2.50000e-06,0.00e+00,5.04e+00, 
2.52000e-06,4.00e-02,4.96e+00, 
2.54000e-06,0.00e+00,5.04e+00, 
2.56000e-06,0.00e+00,5.04e+00, 
2.58000e-06,4.00e-02,4.96e+00, 
2.60000e-06,0.00e+00,5.04e+00, 
2.62000e-06,4.00e-02,4.88e+00, 
2.64000e-06,0.00e+00,5.04e+00, 
2.66000e-06,4.00e-02,4.96e+00, 
2.68000e-06,0.00e+00,5.04e+00, 
2.70000e-06,4.00e-02,4.96e+00, 
2.72000e-06,0.00e+00,4.96e+00, 
2.74000e-06,4.00e-02,5.04e+00, 
2.76000e-06,-4.00e-02,4.96e+00, 
2.78000e-06,8.00e-02,5.04e+00, 
2.80000e-06,0.00e+00,4.96e+00, 
2.82000e-06,4.00e-02,5.04e+00, 
2.84000e-06,0.00e+00,5.04e+00, 
2.86000e-06,4.00e-02,4.88e+00, 
2.88000e-06,0.00e+00,4.96e+00, 
2.90000e-06,4.00e-02,5.04e+00, 
2.92000e-06,0.00e+00,4.96e+00, 
2.94000e-06,4.00e-02,5.04e+00, 
2.96000e-06,0.00e+00,4.96e+00, 
2.98000e-06,4.00e-02,5.04e+00, 
3.00000e-06,0.00e+00,4.88e+00, 
3.02000e-06,4.00e-02,5.04e+00, 
3.04000e-06,0.00e+00,4.88e+00, 
3.06000e-06,4.00e-02,5.04e+00, 
3.08000e-06,0.00e+00,4.96e+00, 
3.10000e-06,4.00e-02,5.04e+00, 
3.12000e-06,0.00e+00,4.88e+00, 
3.14000e-06,4.00e-02,5.04e+00, 
3.16000e-06,0.00e+00,4.96e+00, 
3.18000e-06,4.00e-02,5.04e+00, 
3.20000e-06,0.00e+00,4.88e+00, 
3.22000e-06,4.00e-02,5.04e+00, 
3.24000e-06,0.00e+00,4.88e+00, 
3.26000e-06,4.00e-02,5.04e+00, 
3.28000e-06,4.00e-02,4.96e+00, 
3.30000e-06,0.00e+00,5.04e+00, 
3.32000e-06,0.00e+00,4.88e+00, 
3.34000e-06,4.00e-02,5.04e+00, 
