,CH1,CH2
Second,Volt,Volt
-4.48000e-02,4.48e+00,5.12e+00, 
-4.44000e-02,4.32e+00,5.20e+00, 
-4.40000e-02,4.56e+00,5.12e+00, 
-4.36000e-02,4.24e+00,5.04e+00, 
-4.32000e-02,4.24e+00,5.12e+00, 
-4.28000e-02,3.92e+00,5.12e+00, 
-4.24000e-02,3.92e+00,5.12e+00, 
-4.20000e-02,3.60e+00,5.12e+00, 
-4.16000e-02,3.60e+00,5.12e+00, 
-4.12000e-02,3.28e+00,5.20e+00, 
-4.08000e-02,3.20e+00,5.12e+00, 
-4.04000e-02,2.80e+00,5.12e+00, 
-4.00000e-02,2.72e+00,5.12e+00, 
-3.96000e-02,2.24e+00,-1.60e-01, 
-3.92000e-02,2.16e+00,-8.00e-02, 
-3.88000e-02,1.84e+00,-8.00e-02, 
-3.84000e-02,1.76e+00,-8.00e-02, 
-3.80000e-02,1.52e+00,-1.60e-01, 
-3.76000e-02,1.52e+00,-8.00e-02, 
-3.72000e-02,1.20e+00,-8.00e-02, 
-3.68000e-02,1.20e+00,-8.00e-02, 
-3.64000e-02,9.60e-01,-8.00e-02, 
-3.60000e-02,9.60e-01,-8.00e-02, 
-3.56000e-02,8.00e-01,-8.00e-02, 
-3.52000e-02,8.80e-01,-8.00e-02, 
-3.48000e-02,8.00e-01,0.00e+00, 
-3.44000e-02,8.00e-01,-8.00e-02, 
-3.40000e-02,9.60e-01,0.00e+00, 
-3.36000e-02,8.00e-01,0.00e+00, 
-3.32000e-02,1.28e+00,-8.00e-02, 
-3.28000e-02,1.28e+00,-8.00e-02, 
-3.24000e-02,1.52e+00,0.00e+00, 
-3.20000e-02,1.60e+00,-8.00e-02, 
-3.16000e-02,1.92e+00,-8.00e-02, 
-3.12000e-02,1.92e+00,-8.00e-02, 
-3.08000e-02,2.24e+00,-8.00e-02, 
-3.04000e-02,2.24e+00,-8.00e-02, 
-3.00000e-02,2.88e+00,5.20e+00, 
-2.96000e-02,2.88e+00,5.20e+00, 
-2.92000e-02,3.28e+00,5.12e+00, 
-2.88000e-02,3.36e+00,5.20e+00, 
-2.84000e-02,3.68e+00,5.12e+00, 
-2.80000e-02,3.68e+00,5.28e+00, 
-2.76000e-02,3.92e+00,5.12e+00, 
-2.72000e-02,3.92e+00,5.12e+00, 
-2.68000e-02,4.24e+00,5.20e+00, 
-2.64000e-02,4.24e+00,5.12e+00, 
-2.60000e-02,4.40e+00,5.20e+00, 
-2.56000e-02,4.40e+00,5.12e+00, 
-2.52000e-02,4.48e+00,5.20e+00, 
-2.48000e-02,4.48e+00,5.12e+00, 
-2.44000e-02,4.32e+00,5.20e+00, 
-2.40000e-02,4.48e+00,5.12e+00, 
-2.36000e-02,4.24e+00,5.12e+00, 
-2.32000e-02,4.24e+00,5.12e+00, 
-2.28000e-02,3.92e+00,5.12e+00, 
