,CH1,CH2
Second,Volt,Volt
-1.29000e-02,0.00e+00,-8.00e-02, 
-1.28000e-02,0.00e+00,-8.00e-02, 
-1.27000e-02,4.00e-02,0.00e+00, 
-1.26000e-02,0.00e+00,-8.00e-02, 
-1.25000e-02,8.00e-02,0.00e+00, 
-1.24000e-02,4.00e-02,-8.00e-02, 
-1.23000e-02,4.00e-02,0.00e+00, 
-1.22000e-02,4.00e-02,-8.00e-02, 
-1.21000e-02,0.00e+00,0.00e+00, 
-1.20000e-02,4.00e-02,0.00e+00, 
-1.19000e-02,0.00e+00,-8.00e-02, 
-1.18000e-02,0.00e+00,0.00e+00, 
-1.17000e-02,0.00e+00,-8.00e-02, 
-1.16000e-02,0.00e+00,-8.00e-02, 
-1.15000e-02,0.00e+00,0.00e+00, 
-1.14000e-02,0.00e+00,0.00e+00, 
-1.13000e-02,0.00e+00,-8.00e-02, 
-1.12000e-02,0.00e+00,-8.00e-02, 
-1.11000e-02,4.00e-02,0.00e+00, 
-1.10000e-02,4.00e-02,-8.00e-02, 
-1.09000e-02,0.00e+00,0.00e+00, 
-1.08000e-02,0.00e+00,-8.00e-02, 
-1.07000e-02,4.00e-02,0.00e+00, 
-1.06000e-02,0.00e+00,0.00e+00, 
-1.05000e-02,0.00e+00,-8.00e-02, 
-1.04000e-02,0.00e+00,-8.00e-02, 
-1.03000e-02,0.00e+00,-8.00e-02, 
-1.02000e-02,0.00e+00,-8.00e-02, 
-1.01000e-02,2.00e+00,5.12e+00, 
-1.00000e-02,2.00e+00,5.12e+00, 
-9.90000e-03,2.00e+00,5.12e+00, 
-9.80000e-03,2.00e+00,5.12e+00, 
-9.70000e-03,2.04e+00,5.12e+00, 
-9.60000e-03,2.00e+00,5.12e+00, 
-9.50000e-03,2.08e+00,5.12e+00, 
-9.40000e-03,2.04e+00,5.12e+00, 
-9.30000e-03,2.00e+00,5.12e+00, 
-9.20000e-03,2.00e+00,5.12e+00, 
-9.10000e-03,2.00e+00,5.12e+00, 
-9.00000e-03,2.00e+00,5.12e+00, 
-8.90000e-03,2.00e+00,5.04e+00, 
-8.80000e-03,2.00e+00,5.12e+00, 
-8.70000e-03,2.00e+00,5.04e+00, 
-8.60000e-03,2.00e+00,5.12e+00, 
-8.50000e-03,2.04e+00,5.12e+00, 
-8.40000e-03,2.00e+00,5.12e+00, 
-8.30000e-03,2.04e+00,5.12e+00, 
